31179440;01/01/17;31/12/17;785.982;-112.254;2.566.223;1.166.456;644.088;570.288;185.391
25705173;01/01/16;31/12/16;-1.768;-82.875;4.408.643;4.396.707;11.936;;
26680409;01/01/17;31/12/17;0;0;0;-1.325.287;;;
29613508;01/01/17;31/12/17;213.981;192.443;302.569;-4.661.642;464.211;;
30832515;01/01/16;31/12/16;-5.688;16.022;598.086;570.961;27.125;;
33364601;01/01/17;31/12/17;48.824;16.609;394.820;130.226;262.904;;1.690
76987912;01/01/17;31/12/17;;-5.625;0;-1.050.193;1.050.193;;
35657452;01/01/17;31/12/17;;117.623;215.854;178.057;37.797;;
35657444;01/01/17;31/12/17;;117.623;215.854;178.057;37.797;;
31371392;01/01/16;31/12/16;0;0;1.000.250;1.000.250;;;
35657436;01/01/17;31/12/17;;117.623;215.854;178.057;37.797;;
27976530;01/01/17;31/12/17;-36.340;-59.483;1.682.450;-431.083;2.113.533;;
35849823;01/01/17;31/12/17;387.680;53.030;263.035;163.403;85.622;;
38373498;30/01/17;31/12/17;;0;0;0;;;
38373439;30/01/17;31/12/17;;0;0;0;;;
38335278;15/01/17;31/12/17;0;0;0;0;0;0;0
27973884;01/01/16;31/12/16;-53.237;-108.541;3.238.349;3.149.164;89.185;;
25596358;01/01/16;31/12/16;-3.750;-3.750;0;-66.145;66.145;;
36054247;01/01/16;31/12/16;347.176;226.683;619.638;393.024;226.614;0;
31072026;01/01/16;31/12/16;-30.259;-30.259;0;0;0;;
36508442;01/01/17;31/12/17;;-57.700;0;0;;;
10130050;01/01/16;31/12/16;944.335;246.359;991.800;371.704;620.096;;
34725829;01/01/17;31/12/17;882.434;440.644;9.226.433;1.531.250;1.236.568;6.335.390;123.225
34214867;01/01/17;31/12/17;0;0;0;0;0;;
28965427;01/01/17;31/12/17;-24.196;-42.261;899.122;511.618;7.500;380.004;
37546496;17/03/16;31/12/16;;-1;0;0;;;
31332575;01/01/16;31/12/16;0;0;0;0;0;0;
33499124;01/01/17;31/12/17;-11.092;-32.111;190.587;-704.741;895.328;;
29538840;01/01/16;31/12/16;0;0;0;0;;;
36439106;01/01/17;31/12/17;577.159;109.932;819.529;123.970;572.111;123.448;
38611445;01/01/17;31/12/17;2.211.351;315.023;4.460.329;3.456.295;637.539;;366.495
37804290;01/01/17;31/12/17;0;-1;0;0;;;
38613839;03/05/17;31/12/17;-14.920;303.295;3.583.191;3.444.567;138.624;;
33244606;01/01/17;31/12/17;0;0;0;0;0;0;0
37572179;01/04/16;31/12/16;9.975;-32.630;0;0;;;
36733608;01/01/16;31/12/16;0;0;0;1.000;;;
30077199;01/01/16;31/12/16;0;0;0;0;;;
30484681;01/01/16;31/12/16;;-475;0;-11.986;11.986;;
24231860;01/01/17;31/12/17;0;0;0;0;;;
26799139;01/01/17;31/12/17;0;0;0;0;;;
33157959;01/01/16;31/12/16;0;0;0;0;0;0;0
25472748;01/01/17;31/12/17;2.231.625;-103.567;20.033.642;379.560;18.999.444;;654.638
26365058;01/01/17;31/12/17;-6.751;-5.083;15.030.653;13.475.521;1.555.132;;
36508442;01/01/16;31/12/16;;-88.000;0;0;;;
33878702;01/01/16;31/12/16;0;0;0;0;0;0;0
38795031;05/07/17;31/12/17;-5.000;8.451;2.802.689;2.772.689;30.000;;
33949014;01/01/17;31/12/17;-6.632;-26.573;368.237;291.088;77.149;;
36068205;01/01/16;31/12/16;0;0;0;0;0;0;0
30073037;01/01/16;31/12/16;961.831;306.187;759.783;541.093;216.829;;1.861
32562337;01/01/16;31/12/16;1.210.547;314.346;27.455.316;4.321.948;3.181.245;19.278.005;674.118
